,Comment.1,AustralianSuperMainFund,polarity,subjectivity
0,lower fees and good returns by comparison to my other super account which is with Plum,9.0,0.3,0.55
1,As before.,7.0,0.0,0.0
2,Transparent and easily understood,10.0,0.43,0.83
3,I don't know much about it,6.0,0.2,0.2
4,good performer,10.0,0.7,0.6
5,Australia Super Is The By Far The Best,4.0,0.48,0.66
6,I never been with any other super so I have no idea.,10.0,0.1,0.52
8,Been good fa me,9.0,0.7,0.6
9,seems to be steady and reliable and too big to fail,7.0,-0.11,0.3
10,Ease of use online. Great returns on super investments.,9.0,0.57,0.71
11,Australian Super is an outstanding company who values their customers,10.0,0.28,0.51
12,Performance,7.0,0.0,0.0
13,I believe that Australian super are the best value for money,9.0,0.44,0.32
15,seams good,7.0,0.7,0.6
16,I am happy with australian super as they do the best for me they keep me up to date by mail,7.0,0.53,0.49
18,low fees,6.0,0.0,0.3
19,"Low fees ,understanding staff",10.0,0.0,0.3
20,because we are in it,8.0,0.0,0.0
21,it is ok,6.0,0.5,0.5
22,low fees,7.0,0.0,0.3
23,How I should recommended Australian Super if I don't have update according my own,5.0,0.31,0.56
24,Good,6.0,0.7,0.6
25,Easy to use and easy to review your super information,8.0,0.4,0.78
26,Very happy with my returns,9.0,1.0,1.0
27,Not sure of compatisons,5.0,-0.25,0.89
28,"Informative, efficient, timely.",10.0,0.0,0.0
29,"indusrty fund, good returns",9.0,0.7,0.6
30,Main insurance co. for most ppl I know. Also from what I hear one of the best,8.0,0.56,0.38
31,because Australiansuper is inovative and seems to offer products in advance of other companies offering the same thing.,9.0,-0.06,0.25
32,fffffff,3.0,0.0,0.0
33,After waiting for confirmation about transferring my Australian Super to KiwiSaver I have had no phone call or email to acknowledge that my Application has been received this is very Disappointing as I have always held Australian Super in High Regard.,0.0,0.01,0.46
35,Poor service and NO FRONT OF HOUSE SERVICE IN SOUTH AUSTRALIA YOU LOUSY BUNCH OF MONGRELS,1.0,-0.45,0.55
36,"Good returns, low cost, my money feels safe",8.0,0.4,0.47
37,I don't talk about money issues with people generally,0.0,0.05,0.5
38,It goes alright,6.0,0.0,0.0
40,I've been with Australian Super for so many years and very happy.,10.0,0.46,0.54
41,Unable to.,6.0,-0.5,0.5
42,Easy to deal with,8.0,0.43,0.83
43,I have been happy with any dealing I have had with Australian Super.,8.0,0.38,0.56
44,"I dont think any Super is a good investment. Governments and Super companies dip into my Super at will and take the cream, while I can't touch it.",6.0,0.42,0.65
45,I'm happy with my super but it isn't something that comes up in conversation.,8.0,0.57,0.83
46,dose not come up,1.0,0.0,0.0
47,you helped consolidate all my supers. I love your work,10.0,0.5,0.6
48,It has served me reasonably well so far. My only negative experience was that for a small period I was covered for long-term illnness/disability death and a non-negligible amount of my fund was spent there. I was later notified about it and asked if I wanted to change it which I did. I am just not sure I had consented to it in the first place (I cant recall so this might be the case) but I would have appreciated a bit more transparency and clarity in the process,6.0,0.03,0.48
49,"It is a great choice and peace of mind for future retirement, should charge less admin fees",7.0,0.21,0.31
50,the service is good,8.0,0.7,0.6
51,sometimes Oz Super can be a little ' hot & cold ' with their customers,8.0,-0.05,0.75
53,Reliable returns low fees and good insurance,10.0,0.35,0.45
54,Good returns,10.0,0.7,0.6
55,Ease of use,9.0,0.0,0.0
56,i think there a good fund,8.0,0.7,0.6
57,Great product and easy to use website,10.0,0.62,0.79
58,I have no significant reason to not recommend,9.0,-0.19,0.88
59,Good returns,9.0,0.7,0.6
60,Don't know enough about it,5.0,0.0,0.5
61,"Ok returns, low fees",8.0,0.25,0.4
62,I think most people have already chosen their super choice,7.0,0.42,0.58
63,"Very helpful over the phone and easy to talk to , anything you don't understand they will explain it and help you through the computer process.",9.0,0.32,0.57
64,Recognition and Reputation,10.0,0.0,0.0
65,"Good returns, low cost, good online access",10.0,0.47,0.5
66,"No fees, easy to use, well informed about investment decisions.",10.0,0.43,0.83
67,.,6.0,0.0,0.0
68,"would of gave a higher rating ,but I found that the insurance on death,or injury to be high.which drains your super investment.Also I wasn't informed about the insurance costs,I found out only when I went on line to check my account.(everybody wants to to steal from you!!!.)",5.0,0.24,0.57
69,Happy with the service.,8.0,0.8,1.0
70,As I have only one super I would not know what others are like,8.0,0.17,0.83
71,"Simple admin, low fees and good returns",8.0,0.23,0.42
73,"I'm personally happy with Aust Super but I don't like to recommend financial products to other people. If they specifically asked, I would tell them I was happy.",7.0,0.36,0.61
74,"Always helpful when dealt with over the phone - prompt service, overall happy with returns and costs",9.0,0.4,0.5
75,Service is very good,10.0,0.91,0.78
76,Had no problem dealing with Australian Super. returns appear to be above standard.,8.0,0.08,0.19
77,Australian super appears to be one of the better funds.,9.0,0.28,0.39
78,my daughterbwas just asking about what super and l suggested Australian Super,10.0,0.22,0.44
79,I'm still waiting for a statement to be mailed to me for a while now when the automated response said it would be mailed to me.,6.0,0.0,0.0
80,Up to the person,4.0,0.0,0.0
81,Each person needs to consider their own preferences,5.0,0.6,1.0
82,No reason I probably don't know that much about my super but it appears to be being looked after.,7.0,0.27,0.43
83,no reason really,5.0,0.2,0.2
85,"Would have been higher but...!!The fact that I'm doing this survey on my work email account, which I have tried and tried telling you not to send my super related stuff to. Again!! Please do not send my super related stuff to this email account as it is intended for work related business. Send it to my personal account sambas844@gmail.com",8.0,0.13,0.48
86,"Mysterious fees, obscure contacts, minimal transparency. Insurance being applied to my account and being charged for it when I have not requested it. My money would be better off in a savings account accruing interest until my retirement.",0.0,0.13,0.7
87,"appears your just like all the rest , just a bunch of ripoff arsewipes, snout in the trough of a paul keating legalised Rort.",1.0,0.0,0.0
88,"Size, reliability, trust.",9.0,0.0,0.0
89,Appears to be low fees and easy to access. My main complaint was when I had to close my husbands Super as he has a terminal illness and we had to pay for Medical care. It was extremely difficult and we were charged for the service. Really!! I felt like closing mine as well. Its not a large amount but its the principal.,6.0,0.04,0.44
90,good returns,8.0,0.7,0.6
91,you do OK,8.0,0.5,0.5
92,Australian Super has been amazing to me and been easy to access with fast responses to question/queries and have had great results with what they have chosen to put my money in to :),10.0,0.41,0.68
93,I have found Australian Super to be honest,9.0,0.31,0.52
95,because it's an Industry super fund and was recommended by my accountant,9.0,0.33,0.67
96,"No idea, had no personal dealings",5.0,0.0,0.3
97,Performs well and low fees,10.0,0.0,0.3
98,Low fee,10.0,0.0,0.3
99,Trust the fund,10.0,0.0,0.0
100,Happy and pleased,10.0,0.65,1.0
101,nill,7.0,0.0,0.0
102,Top returns,10.0,0.5,0.5
103,Good advice from free seminars. Easy to navigate and informative website.,9.0,0.51,0.74
104,Dont really discuss super fund preferences wirh anyone,7.0,0.27,0.43
105,Australian Super suits my current financial needs,9.0,0.08,0.27
106,"I am happy with Australian Super, but have never been with another fund, so hard to compare.",8.0,0.21,0.55
107,Seems to be performing consistently well. Like the updates and information provided on a regular basis like the ease of use with the online features,10.0,0.12,0.16
109,very professional and always keeps u updated,10.0,0.13,0.13
110,"They seem to be making my super increase every year, but no one is ever perfect.",8.0,0.67,0.83
112,Reasonable return,6.0,0.2,0.6
113,Had nil issues to date,8.0,0.0,0.0
114,Because I can't get the information I want that I requested from you.,5.0,0.0,0.0
115,My super,8.0,0.33,0.67
116,Always liked Australian Super,10.0,0.31,0.49
117,Easy to deal with,8.0,0.43,0.83
118,"I am happy enough with Australian Super, and don't have enough knowledge to know if there are potentially better options to recommend.",8.0,0.27,0.53
119,Results seem to be consistent and always recieve relevant and detailed information each quater,8.0,0.35,0.63
120,Been very helpful,10.0,0.2,0.3
122,No problems and returns are ok.,8.0,0.5,0.5
123,"No fees, good returns",10.0,0.7,0.6
124,Cos everyone hav their own super they want to use,6.0,0.47,0.83
125,neutral,5.0,0.0,0.0
126,Returns are as expected,10.0,-0.1,0.4
127,"Good service, reasonable returns and fees",8.0,0.45,0.6
128,I have told friends & coworkers how satisfied I am with my super. It is a personal choice,5.0,0.28,0.66
129,I like the people running the fund as well as the fund's performance.,10.0,0.0,0.0
130,i have found the service to be of my liking,8.0,0.0,0.0
131,Convenient and easy to understand,9.0,0.43,0.83
133,"It is a not-for-profit fund. Administration, communication is excellent.",10.0,1.0,1.0
134,Zero emotional connection with the brand. All super funds feel the same. If pushed I'd probably think Australian Super offers me low fees... but not really confident why I think that and whether it is justified assessment,5.0,0.1,0.46
135,there keep me up date with my super.,9.0,0.33,0.67
136,i don't have any idea how it is performing,5.0,0.0,0.0
137,Don't know if it's giving me the best returns,5.0,1.0,0.3
138,I have a lot of trouble dealing with Australian super,5.0,0.04,0.29
139,good service,8.0,0.7,0.6
140,"Kept updated,easy to understand balances and statements.",9.0,0.0,0.0
141,Have never been disappointed,9.0,-0.75,0.75
142,good,9.0,0.7,0.6
143,I've had no problems or issues,7.0,0.0,0.0
144,"It has provide good, consistent returns",7.0,0.47,0.43
145,Performs well,8.0,0.0,0.0
146,only work part time by myself,0.0,0.0,1.0
147,Very reliable service and outcomes for my super.,9.0,0.27,0.48
148,At this stage I don't follow my supper much,5.0,0.2,0.2
149,"It has been good for me, but not sure if it is the best.",7.0,0.48,0.6
151,I think they are doing a good job,8.0,0.7,0.6
152,Happy with the communication now. Wasn't for awhile but that seems to have changed,10.0,0.8,1.0
153,"No reason, have not had much to do with my super",5.0,0.27,0.43
154,"Good returns, easy online access, reasonably efficient staff.",9.0,0.44,0.68
155,Need to lower the ongoing fee,6.0,0.0,0.0
156,"Excellent service,products and sdvise",10.0,1.0,1.0
157,"Superannuation is generally supplied and fiven by the employer, not the employee.",6.0,0.05,0.5
158,As they keep in touch with you,8.0,0.0,0.0
159,Been you u guys since I was 16. 20 years now.,10.0,0.0,0.0
160,There could be a better superannuation that suits them better.,8.0,0.5,0.5
161,Its so so... i don't really feel the value... i feel the fees and deductions are too high,5.0,0.18,0.37
162,"Low fees, for the benefit of members",9.0,0.0,0.3
163,I don't really think too much about super so Don't really have an opinion,4.0,0.23,0.32
164,Ins cover options,9.0,0.0,0.0
